======================================================================
PHASE 6: COMPREHENSIVE SCENARIO GENERATOR (S1-S6)
Per experiment-design.md §2.4 (revised 2026-06-16)
======================================================================

--- S1: N=20, Sentinel-1, 693km, bilateral ---
  [S5] S5-D_seed05.pkl: 20/20 visible, 82 windows, 1.4s
  [S5] S5-D_seed06.pkl: 20/20 visible, 90 windows, 1.4s
  [S5] S5-D_seed07.pkl: 20/20 visible, 82 windows, 1.3s
  [S5] S5-D_seed08.pkl: 20/20 visible, 86 windows, 1.2s
  [S5] S5-D_seed09.pkl: 20/20 visible, 93 windows, 1.4s
  [S5] S5-E_seed00.pkl: 20/20 visible, 80 windows, 1.5s
  [S5] S5-E_seed01.pkl: 20/20 visible, 79 windows, 2.2s
  [S5] S5-E_seed02.pkl: 20/20 visible, 81 windows, 1.9s
  [S5] S5-E_seed03.pkl: 20/20 visible, 78 windows, 1.7s
  [S5] S5-E_seed04.pkl: 20/20 visible, 82 windows, 1.3s
  [S5] S5-E_seed05.pkl: 20/20 visible, 76 windows, 1.5s
  [S5] S5-E_seed06.pkl: 20/20 visible, 89 windows, 1.5s
  [S5] S5-E_seed07.pkl: 20/20 visible, 81 windows, 1.4s
  [S5] S5-E_seed08.pkl: 20/20 visible, 85 windows, 1.4s
  [S5] S5-E_seed09.pkl: 20/20 visible, 91 windows, 1.2s
  [S5] Generated 50 new scenarios


--- S6: C3 Stress Test, N=20, Sentinel-1, 693km, bilateral ---
  [S6] S6-A_seed00.pkl: 20/20 visible, 78 windows, 1.5s
  [S6] S6-A_seed01.pkl: 20/20 visible, 77 windows, 2.3s
  [S6] S6-A_seed02.pkl: 20/20 visible, 81 windows, 2.0s
  [S6] S6-A_seed03.pkl: 20/20 visible, 83 windows, 2.1s
  [S6] S6-A_seed04.pkl: 20/20 visible, 80 windows, 1.8s
  [S6] S6-A_seed05.pkl: 20/20 visible, 85 windows, 2.4s
  [S6] S6-A_seed06.pkl: 20/20 visible, 82 windows, 1.9s
  [S6] S6-A_seed07.pkl: 20/20 visible, 89 windows, 1.8s
  [S6] S6-A_seed08.pkl: 20/20 visible, 81 windows, 1.6s
  [S6] S6-A_seed09.pkl: 20/20 visible, 78 windows, 1.4s
  [S6] S6-B_seed00.pkl: 20/20 visible, 81 windows, 2.0s
  [S6] S6-B_seed01.pkl: 20/20 visible, 83 windows, 2.0s
  [S6] S6-B_seed02.pkl: 20/20 visible, 91 windows, 1.6s
  [S6] S6-B_seed03.pkl: 20/20 visible, 80 windows, 1.5s
  [S6] S6-B_seed04.pkl: 20/20 visible, 82 windows, 1.5s
  [S6] S6-B_seed05.pkl: 20/20 visible, 84 windows, 1.9s
  [S6] S6-B_seed06.pkl: 20/20 visible, 82 windows, 1.9s
  [S6] S6-B_seed07.pkl: 20/20 visible, 81 windows, 2.4s
  [S6] S6-B_seed08.pkl: 20/20 visible, 85 windows, 3.4s
  [S6] S6-B_seed09.pkl: 20/20 visible, 88 windows, 2.2s
  [S6] S6-C_seed00.pkl: 20/20 visible, 88 windows, 1.5s
  [S6] S6-C_seed01.pkl: 20/20 visible, 82 windows, 1.6s
  [S6] S6-C_seed02.pkl: 20/20 visible, 88 windows, 1.6s
  [S6] S6-C_seed03.pkl: 20/20 visible, 81 windows, 1.5s
  [S6] S6-C_seed04.pkl: 20/20 visible, 87 windows, 1.5s
  [S6] S6-C_seed05.pkl: 20/20 visible, 90 windows, 1.4s
  [S6] S6-C_seed06.pkl: 20/20 visible, 88 windows, 1.7s
  [S6] S6-C_seed07.pkl: 20/20 visible, 89 windows, 2.2s
  [S6] S6-C_seed08.pkl: 20/20 visible, 81 windows, 1.9s
  [S6] S6-C_seed09.pkl: 20/20 visible, 88 windows, 1.7s
  [S6] S6-D_seed00.pkl: 20/20 visible, 36 windows, 1.5s
  [S6] S6-D_seed01.pkl: 20/20 visible, 32 windows, 1.3s
  [S6] S6-D_seed02.pkl: 20/20 visible, 33 windows, 1.4s
  [S6] S6-D_seed03.pkl: 20/20 visible, 36 windows, 1.4s
  [S6] S6-D_seed04.pkl: 20/20 visible, 42 windows, 1.2s
  [S6] S6-D_seed05.pkl: 20/20 visible, 34 windows, 1.3s
  [S6] S6-D_seed06.pkl: 20/20 visible, 29 windows, 2.0s
  [S6] S6-D_seed07.pkl: 20/20 visible, 43 windows, 2.0s
  [S6] S6-D_seed08.pkl: 20/20 visible, 37 windows, 1.6s
  [S6] S6-D_seed09.pkl: 20/20 visible, 36 windows, 1.5s
  [S6] S6-E_seed00.pkl: 20/20 visible, 38 windows, 1.4s
  [S6] S6-E_seed01.pkl: 20/20 visible, 39 windows, 1.2s
  [S6] S6-E_seed02.pkl: 20/20 visible, 41 windows, 1.4s
  [S6] S6-E_seed03.pkl: 20/20 visible, 37 windows, 1.6s
  [S6] S6-E_seed04.pkl: 20/20 visible, 43 windows, 1.3s
  [S6] S6-E_seed05.pkl: 20/20 visible, 33 windows, 1.3s
  [S6] S6-E_seed06.pkl: 20/20 visible, 40 windows, 1.3s
  [S6] S6-E_seed07.pkl: 20/20 visible, 43 windows, 1.3s
  [S6] S6-E_seed08.pkl: 20/20 visible, 42 windows, 1.4s
  [S6] S6-E_seed09.pkl: 20/20 visible, 41 windows, 1.2s
  [S6] Generated 50 new scenarios


--- S7: N=150, Sentinel-1, 693km, bilateral (intermediate density) ---
  [S7] S7-A_seed00.pkl: 150/150 visible, 245 windows, 9.5s
  [S7] S7-A_seed01.pkl: 149/150 visible, 244 windows, 10.6s
  [S7] S7-A_seed02.pkl: 150/150 visible, 247 windows, 11.7s
  [S7] S7-A_seed03.pkl: 150/150 visible, 258 windows, 11.4s
  [S7] S7-A_seed04.pkl: 150/150 visible, 256 windows, 9.7s
  [S7] S7-A_seed05.pkl: 150/150 visible, 253 windows, 10.0s
  [S7] S7-A_seed06.pkl: 150/150 visible, 268 windows, 14.3s
  [S7] S7-A_seed07.pkl: 149/150 visible, 244 windows, 13.1s
  [S7] S7-A_seed08.pkl: 149/150 visible, 259 windows, 13.0s
  [S7] S7-A_seed09.pkl: 150/150 visible, 255 windows, 11.4s
  [S7] S7-B_seed00.pkl: 149/150 visible, 249 windows, 11.2s
  [S7] S7-B_seed01.pkl: 147/150 visible, 251 windows, 9.4s
  [S7] S7-B_seed02.pkl: 150/150 visible, 279 windows, 11.3s
  [S7] S7-B_seed03.pkl: 149/150 visible, 222 windows, 13.0s
  [S7] S7-B_seed04.pkl: 150/150 visible, 273 windows, 12.7s
  [S7] S7-B_seed05.pkl: 150/150 visible, 316 windows, 14.9s
  [S7] S7-B_seed06.pkl: 146/150 visible, 248 windows, 12.5s
  [S7] S7-B_seed07.pkl: 150/150 visible, 285 windows, 13.8s
  [S7] S7-B_seed08.pkl: 150/150 visible, 213 windows, 13.2s
  [S7] S7-B_seed09.pkl: 149/150 visible, 237 windows, 15.3s
  [S7] S7-C_seed00.pkl: 150/150 visible, 254 windows, 12.3s
  [S7] S7-C_seed01.pkl: 150/150 visible, 256 windows, 14.2s
  [S7] S7-C_seed02.pkl: 146/150 visible, 245 windows, 12.8s
  [S7] S7-C_seed03.pkl: 149/150 visible, 221 windows, 10.4s
  [S7] S7-C_seed04.pkl: 150/150 visible, 221 windows, 12.7s
  [S7] S7-C_seed05.pkl: 150/150 visible, 252 windows, 10.9s
  [S7] S7-C_seed06.pkl: 149/150 visible, 265 windows, 10.3s
  [S7] S7-C_seed07.pkl: 150/150 visible, 317 windows, 9.7s
  [S7] S7-C_seed08.pkl: 150/150 visible, 248 windows, 11.8s
  [S7] S7-C_seed09.pkl: 149/150 visible, 230 windows, 11.1s
  [S7] S7-D_seed00.pkl: 150/150 visible, 318 windows, 11.9s
  [S7] S7-D_seed01.pkl: 150/150 visible, 224 windows, 12.1s
  [S7] S7-D_seed02.pkl: 150/150 visible, 229 windows, 12.1s
  [S7] S7-D_seed03.pkl: 150/150 visible, 244 windows, 12.5s
  [S7] S7-D_seed04.pkl: 149/150 visible, 265 windows, 9.6s
  [S7] S7-D_seed05.pkl: 150/150 visible, 291 windows, 12.3s
  [S7] S7-D_seed06.pkl: 150/150 visible, 236 windows, 11.2s
  [S7] S7-D_seed07.pkl: 150/150 visible, 285 windows, 9.6s
  [S7] S7-D_seed08.pkl: 150/150 visible, 277 windows, 12.8s
  [S7] S7-D_seed09.pkl: 149/150 visible, 283 windows, 10.4s
  [S7] S7-E_seed00.pkl: 150/150 visible, 230 windows, 16.7s
  [S7] S7-E_seed01.pkl: 150/150 visible, 258 windows, 16.1s
  [S7] S7-E_seed02.pkl: 150/150 visible, 246 windows, 14.2s
  [S7] S7-E_seed03.pkl: 150/150 visible, 250 windows, 12.9s
  [S7] S7-E_seed04.pkl: 150/150 visible, 247 windows, 12.5s
